ingredient_name,fdc_id,nutrient,amount_per_100g
Water,173647,water,99.9
Water,173647,protein,0.0
Water,173647,fat,0.0
Water,173647,carbohydrate,0.0
Water,173647,fiber,0.0
Water,173647,sugars_total,0.0
Water,173647,alcohol,0.0
Water,173647,sodium,0.004
Cane sugar,169655,water,0.02
Cane sugar,169655,protein,0.0
Cane sugar,169655,fat,0.0
Cane sugar,169655,carbohydrate,100.0
Cane sugar,169655,fiber,0.0
Cane sugar,169655,sugars_total,99.8
Cane sugar,169655,sucrose,99.8
Cane sugar,169655,glucose,0.0
Cane sugar,169655,fructose,0.0
Cane sugar,169655,lactose,0.0
Cane sugar,169655,maltose,0.0
Cane sugar,169655,galactose,0.0
Cane sugar,169655,alcohol,0.0
Cane sugar,169655,sodium,0.001
Fresh ginger,169231,water,78.9
Fresh ginger,169231,protein,1.82
Fresh ginger,169231,fat,0.75
Fresh ginger,169231,carbohydrate,17.8
Fresh ginger,169231,fiber,2.0
Fresh ginger,169231,sugars_total,1.7
Fresh ginger,169231,alcohol,0.0
Fresh ginger,169231,sodium,0.013
Milk,171265,water,88.1
Milk,171265,protein,3.15
Milk,171265,fat,3.25
Milk,171265,carbohydrate,4.8
Milk,171265,fiber,0.0
Milk,171265,sugars_total,5.05
Milk,171265,sucrose,0.0
Milk,171265,glucose,0.0
Milk,171265,fructose,0.0
Milk,171265,lactose,5.05
Milk,171265,maltose,0.0
Milk,171265,galactose,0.0
Milk,171265,alcohol,0.0
Milk,171265,sodium,0.043
Salt,173468,water,0.2
Salt,173468,protein,0.0
Salt,173468,fat,0.0
Salt,173468,carbohydrate,0.0
Salt,173468,fiber,0.0
Salt,173468,sugars_total,0.0
Salt,173468,alcohol,0.0
Salt,173468,sodium,38.8
Cabbage,169975,water,92.2
Cabbage,169975,protein,1.28
Cabbage,169975,fat,0.1
Cabbage,169975,carbohydrate,5.8
Cabbage,169975,fiber,2.5
Cabbage,169975,sugars_total,3.2
Cabbage,169975,sucrose,0.08
Cabbage,169975,glucose,1.67
Cabbage,169975,fructose,1.45
Cabbage,169975,lactose,0.0
Cabbage,169975,maltose,0.01
Cabbage,169975,galactose,0.0
Cabbage,169975,starch,0.0
Cabbage,169975,alcohol,0.0
Cabbage,169975,sodium,0.018
Chilies,170106,water,88.0
Chilies,170106,protein,1.87
Chilies,170106,fat,0.44
Chilies,170106,carbohydrate,8.81
Chilies,170106,fiber,1.5
Chilies,170106,sugars_total,5.3
Chilies,170106,alcohol,0.0
Chilies,170106,sodium,0.009
White rice,168931,water,13.3
White rice,168931,protein,6.5
White rice,168931,fat,0.52
White rice,168931,carbohydrate,79.2
White rice,168931,sodium,0.001
Pearl barley,170284,water,10.1
Pearl barley,170284,protein,9.91
Pearl barley,170284,fat,1.16
Pearl barley,170284,carbohydrate,77.7
Pearl barley,170284,fiber,15.6
Pearl barley,170284,sugars_total,0.8
Pearl barley,170284,alcohol,0.0
Pearl barley,170284,sodium,0.009
Soybeans,174270,water,8.54
Soybeans,174270,protein,36.5
Soybeans,174270,fat,19.9
Soybeans,174270,carbohydrate,30.2
Soybeans,174270,fiber,9.3
Soybeans,174270,sugars_total,7.33
Soybeans,174270,alcohol,0.0
Soybeans,174270,sodium,0.002
White wheat flour,168896,water,13.4
White wheat flour,168896,protein,12.0
White wheat flour,168896,fat,1.66
White wheat flour,168896,carbohydrate,72.5
White wheat flour,168896,fiber,2.4
White wheat flour,168896,sugars_total,0.31
White wheat flour,168896,alcohol,0.0
White wheat flour,168896,sodium,0.002
Whole wheat flour,168893,water,10.7
